County,Human_Population
Alameda,"1,663,823"
Alpine,"1,515"
Amador ,"40,577"
Butte,"213,605"
Calaveras,"45,674"
Colusa,"21,811"
Contra Costa,"1,162,648"
Del Norte,"27,462"
El Dorado,"191,713"
Fresno,"1,008,280"
Glenn,"28,657"
Humboldt,"136,132"
Imperial,"179,578"
Inyo,"18,829"
Kern,"906,883"
Kings,"152,515"
Lake,"68,024"
Lassen,"31,873"
Los Angeles,"9,936,690"
Madera,"157,243"
Marin ,"260,485"
Mariposa,"17,130"
Mendocino,"91,145"
Merced,"282,290"
Modoc,"8,651"
Mono,"13,219"
Monterey,"437,609"
Napa,"137,384"
Nevada,"102,322"
Orange,"3,175,227"
Placer,"406,608"
Plumas,"19,650"
Riverside,"2,429,487"
Sacramento,"1,579,211"
San Benito,"64,753"
San Bernardino,"2,180,563"
San Diego,"3,289,701"
San Francisco,"851,036"
San Joaquin,"779,445"
San Luis Obispo,"281,712"
San Mateo,"754,250"
Santa Barbara,"445,213"
Santa Clara,"1,916,831"
Santa Cruz,"268,571"
Shasta,"181,852"
Sierra,"2,916"
Siskiyou,"44,049"
Solano,"450,995"
Sonoma,"488,436"
Stanislaus,"552,063"
Sutter,"99,101"
Tehama,"65,484"
Trinity,"15,889"
Tulare,"473,446"
Tuolumne,"54,993"
Ventura,"842,009"
Yolo,"217,141"
Yuba,"81,705"
